Titre,Type,Domaine,Date,Heure,Commit
"Direction éditoriale, la portée en fil conducteur",✨ Fonctionnalité,🌍 Public,2026-07-26,17:24,8d2596a
"Créneaux groupés par matin, après-midi et soir",✨ Fonctionnalité,🏗️ Fondations,2026-07-26,17:24,f8fcfdb
"Prénom et nom modifiables, et un prénom qui cesse d'être deviné",✨ Fonctionnalité,🏗️ Fondations,2026-07-26,23:20,bdb121d
"« Atelier » — encre sapin sur papier, accent terre cuite",🎨 Refonte,🖌️ Design,2026-07-29,09:23,7fe3c6a
"« ReChord » — épicéa & bronze, Inter + Fraunces",🎨 Refonte,🖌️ Design,2026-07-29,14:37,74688c4
"Filets et titres démesurés partout, plus de grilles de cartes",🎨 Refonte,🖌️ Design,2026-07-29,16:18,677b85d
"Sortir le vert des neutres, papier chaud, plus de bronze",🎨 Refonte,🖌️ Design,2026-07-29,16:28,7f1143f
Middleware → proxy,🎨 Refonte,🛠️ Infra,2026-07-29,18:50,95a89a0
Générer le client Prisma en postinstall (Vercel),🐛 Correctif,🛠️ Infra,2026-07-29,18:58,ed4ee60
"Retirer la connexion Google, garder email + mot de passe",✨ Fonctionnalité,🏗️ Fondations,2026-07-29,19:12,bdb9ab9
"Client Better Auth relatif à l'origine, plus NEXT_PUBLIC_APP_URL",🐛 Correctif,🏗️ Fondations,2026-07-29,19:20,7f40916
"Navigation franche après connexion, plus de boucle de redirection",🐛 Correctif,🏗️ Fondations,2026-07-29,19:31,ccc1551
Lire le cookie de session via getSessionCookie (préfixe __Secure- en prod),🐛 Correctif,🏗️ Fondations,2026-07-29,19:37,dcd0883
"« Mon espace » et le logo pointent sur /dashboard, pas la sous-page",✨ Fonctionnalité,🖌️ Design,2026-07-29,19:43,7ae8686
"Bande de stats prof (demandes, cours, CA estimé)",✨ Fonctionnalité,🖌️ Design,2026-07-29,19:55,d713760
"Page « Activité » — suivi des revenus par période, avec filtres et export",✨ Fonctionnalité,🧑‍🏫 Espace prof,2026-07-29,22:39,8651173
Navigation en sidebar + lien vers le tableau de bord,✨ Fonctionnalité,🧑‍🏫 Espace prof,2026-07-29,22:46,e59ef59
Lignes de demi-heure et repère « maintenant »,✨ Fonctionnalité,📅 Agenda,2026-07-29,22:59,3806880
Blocs de cours enrichis,✨ Fonctionnalité,📅 Agenda,2026-07-29,23:03,251d2ba
Bascule jour / semaine,✨ Fonctionnalité,📅 Agenda,2026-07-29,23:14,d56eedf
Vue mois + sélecteur de vue partagé,✨ Fonctionnalité,📅 Agenda,2026-07-30,00:08,9e92a9a
Backend de reprogrammation d'un cours (5a),✨ Fonctionnalité,📅 Agenda,2026-07-30,00:20,7639f87
Glisser-déposer d'un cours confirmé (5b),✨ Fonctionnalité,📅 Agenda,2026-07-30,00:38,45ab11e
Agenda pleine largeur (le reste re-plafonné),✨ Fonctionnalité,📅 Agenda,2026-07-30,01:17,8469c55
Détail du cours en modale au clic,✨ Fonctionnalité,📅 Agenda,2026-07-30,01:24,9d258bd
Retirer la référence à theme/ (fichiers supprimés du dépôt),📝 Docs,🖌️ Design,2026-07-30,01:26,0157de4
Le profil complet de l'élève à portée d'un clic,✨ Fonctionnalité,🧑‍🏫 Espace prof,2026-07-30,01:48,443b5f2
"Âge optionnel sur la fiche publique, opt-in explicite",✨ Fonctionnalité,🧑‍🏫 Espace prof,2026-07-30,10:35,890a7c9
Renommage Noteva → SiNote (marque + projet),🔧 Config,🖌️ Design,2026-07-30,18:27,125c055
Photo de profil prof via Scaleway Object Storage,✨ Fonctionnalité,🧑‍🏫 Espace prof,2026-07-30,18:53,5718a55
"Compte rendu de cours écrit par le prof, lu par l'élève",✨ Fonctionnalité,🧑‍🏫 Espace prof,2026-07-30,20:36,57137d9
Fiche élève façon CRM pour le prof,✨ Fonctionnalité,🧑‍🏫 Espace prof,2026-07-30,21:45,a8c3824
Messagerie asynchrone prof↔élève (commentaires + fil général),✨ Fonctionnalité,🧑‍🏫 Espace prof,2026-07-30,22:16,b1e2bd6
Dossier partagé accessible côté élève,✨ Fonctionnalité,🎒 Espace élève,2026-07-30,22:24,31b7e92
"Sidebar de navigation, symétrique du prof",✨ Fonctionnalité,🎒 Espace élève,2026-07-30,23:04,5237ffc
"Réorganisation en onglets (profil, historique, comptes rendus, messages)",✨ Fonctionnalité,🧑‍🏫 Espace prof,2026-07-30,23:29,04c84d7
Mise en page soignée + lecteur audio custom,✨ Fonctionnalité,🧑‍🏫 Espace prof,2026-07-31,00:15,8f84242
Lien vers le compte rendu depuis l'historique des cours,✨ Fonctionnalité,🧑‍🏫 Espace prof,2026-07-31,01:32,f617875
"En-tête marqué, horodatage des messages, intitulé « Cours de … »",✨ Fonctionnalité,🧑‍🏫 Espace prof,2026-07-31,09:45,2d0424c
Filtrer les élèves et les comptes rendus,✨ Fonctionnalité,🧑‍🏫 Espace prof,2026-07-31,10:09,bb14dc0
Visionneuse plein écran des images,✨ Fonctionnalité,🧑‍🏫 Espace prof,2026-07-31,10:21,cd2acd6
"Kanban à jour + historique des commits, et docs projet",📝 Docs,🛠️ Infra,2026-07-31,11:19,8aba838
